0,SansAnimation,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,,
0,SansText,ready?,,,,,,,, 
0,BlackScreen,1,,,,,,,, 
0,Sound,Flash,,,,,,,, 
0.06666,BlackScreen,0,,,,,,,, 
0,Sound,Flash,,,,,,,, 
0,CombatZoneResizeInstant,239,226,404,391,,,,, 
0,HeartTeleport,320,304,,,,,,,, 
0,HeartMode,0,,,,,,,, 
0,SansBody,HandDown,,,,,,,, 
0,SansHead,BlueEye,,,,,,,, 
0,Sound,GasterBlaster,1.4,,,,,,, 
0.26666,SansSlam,1,,,,,,,, 
0.5,SansBody,HandUp,,,,,,,, 
0,SansHead,NoEyes,,,,,,,, 
0,BoneStab,1,54,0.16666,1,,,,, 
0.7,HeartMode,0,,,,,,,, 
0,SansBody,HandRight,,,,,,,, 
0,Sound,Ding,,,,,,,, 
0.4,Sound,GasterBlaster,1.4,,,,,,, 
0.4,SineBones,20,-24,360,25,,,,, 
1.1,SansAnimation,,,,,,,,,
